"A 5.1 magnitude earthquake occurred 46.6mi SSW of Nikolski, Alaska. Details: http://t.co/sLguLJ6fCn Map: http://t.co/C3EoQulcQN"
"A 5.4 magnitude earthquake occurred 55.92mi SSW of Nikolski, Alaska. Details: http://t.co/9eh7Y6K2pr Map: http://t.co/tLuzVQJQEx"
"A 6.7 magnitude earthquake occurred 58.41mi ESE of Yunaska Island, Alaska. Details: http://t.co/65e8BI7PBA Map: http://t.co/QpIwbZ7FdT"
"A 6.9 magnitude earthquake occurred 62.14mi SSW of Nikolski, Alaska. Details: http://t.co/8HTPFqYrns Map: http://t.co/Z8vvEy8GrM"
"A 6.9 magnitude earthquake occurred 64mi SSW of Nikolski, Alaska. Details: http://t.co/EgJT0aU6eP Map: http://t.co/EAnrDEQMkr"
"A 5.2 magnitude earthquake occurred 70.84mi SSW of Dadali, Solomon Islands. Details: http://t.co/7nKwhQ0fGX Map: http://t.co/uDio0p3i7H"
"A 5.0 magnitude earthquake occurred 154.1mi SSE of Sinabang, Indonesia. Details: http://t.co/iBv4Fvwx3Q Map: http://t.co/TGujvqku9A"
"A 5.1 magnitude earthquake occurred 34.8mi NNW of Neiafu, Tonga. Details: http://t.co/QjX4qeX457 Map: http://t.co/z0H0A2DlCO"
A 5.0 magnitude earthquake occurred in Fiji region. Details: http://t.co/G46m8ZXlxY Map: http://t.co/pnJngMRdlI
"A 5.5 magnitude earthquake occurred 42.87mi N of Neiafu, Tonga. Details: http://t.co/Vj7Pv8mWnw Map: http://t.co/Rvv919ec5p"
"A 6.0 magnitude earthquake occurred 57.79mi S of Krajan Tambakrejo, Indonesia. Details: http://t.co/dyl4jW4aQ8 Map: http://t.co/6VnVwYv2BG"
"A 5.1 magnitude earthquake occurred 94.45mi ESE of Yigo Mayor's Office, Guam. Details: http://t.co/ccuELSy8ei Map: http://t.co/OkEdsKbgdf"
"A 5.0 magnitude earthquake occurred 65.87mi W of Willow, Alaska. Details: http://t.co/81XeAsQUf9 Map: http://t.co/nVLdgomtwW"
"A 5.1 magnitude earthquake occurred 93.21mi W of Abepura, Indonesia. Details: http://t.co/5L0MdmCKcz Map: http://t.co/DKG3EvNdRI"
"A 5.3 magnitude earthquake occurred 49.71mi W of Campoverde, Peru. Details: http://t.co/vipWR9Yxas Map: http://t.co/cvMqrmOen0"
"A 5.5 magnitude earthquake occurred 9.32mi WSW of Iquique, Chile. Details: http://t.co/x5U7q9zMEo Map: http://t.co/XOv5gq1tqJ"
"A 5.4 magnitude earthquake occurred 39.77mi S of Karangbadar Kidul, Indonesia. Details: http://t.co/fFSb6PQNOi Map: http://t.co/kPZyMqH4pS"
A 5.1 magnitude earthquake occurred in Pakistan. Details: http://t.co/JywnQ5edQW Map: http://t.co/sZofOzxfm2
"A 5.0 magnitude earthquake occurred 26.1mi WNW of Kirakira, Solomon Islands. Details: http://t.co/PvKbxUeYRF Map: http://t.co/YMWJeuioOa"
"A 5.0 magnitude earthquake occurred 57.17mi SE of Yilkiqi, China. Details: http://t.co/F8GkRjRIah Map: http://t.co/hWaxCz9Bet"
"A 5.2 magnitude earthquake occurred 9.94mi SW of Kefalos, Greece. Details: http://t.co/w8E1ISu3Gh Map: http://t.co/SP66WznqwM"
A 5.0 magnitude earthquake occurred in Balleny Islands region. Details: http://t.co/MSzE9NUoZy Map: http://t.co/xdxG7gp8xD
"A 5.3 magnitude earthquake occurred 80.16mi WNW of Lata, Solomon Islands. Details: http://t.co/nd2QbwdMJC Map: http://t.co/iarPutTuvN"
A 5.0 magnitude earthquake occurred in Mid-Indian Ridge. Details: http://t.co/jwQMgCX5Fb Map: http://t.co/dYw6VMGpLD
"A 5.1 magnitude earthquake occurred in Off the east coast of Honshu, Japan. Details: http://t.co/pOb2k9L8QP Map: http://t.co/YW2Z3kw0li"
A 5.1 magnitude earthquake occurred in Central Mid-Atlantic Ridge. Details: http://t.co/YM6pcC5x1J Map: http://t.co/weE3vVLKr4
"A 5.6 magnitude earthquake occurred 52.82mi SW of Banda Aceh, Indonesia. Details: http://t.co/32cK50QanR Map: http://t.co/XrDRTDuT5V"
"A 5.2 magnitude earthquake occurred 86.99mi ENE of Hachijo-jima, Japan. Details: http://t.co/KJtyV52txW Map: http://t.co/6CUwsleBy7"
"A 5.2 magnitude earthquake occurred 35.42mi NNE of Nuku`alofa, Tonga. Details: http://t.co/EHCYZhwV2x Map: http://t.co/Z00JUvaGcT"
"A 5.1 magnitude earthquake occurred in near the east coast of Honshu, Japan. Details: http://t.co/cmASDKWhjP Map: http://t.co/C6UD3zOc7E"
A 5.4 magnitude earthquake occurred in Southwest Indian Ridge. Details: http://t.co/g5U8ZiOKIS Map: http://t.co/WwOn3kl9sN
A 5.1 magnitude earthquake occurred in Southern East Pacific Rise. Details: http://t.co/j3DAIFiSfr Map: http://t.co/McFp1KwWnX
A 5.6 magnitude earthquake occurred in Southwest Indian Ridge. Details: http://t.co/af498J44o0 Map: http://t.co/EUjlcHsRiu
"A 5.3 magnitude earthquake occurred 9.32mi N of Claveria, Philippines. Details: http://t.co/Hp0BY2Q6Ge Map: http://t.co/7TLvOg3sZb"
"A 5.0 magnitude earthquake occurred 68.35mi W of Lata, Solomon Islands. Details: http://t.co/o4qK3yQrHg Map: http://t.co/KA0fyajFdv"
"A 5.1 magnitude earthquake occurred 36.66mi S of Domartang, China. Details: http://t.co/qvmUGgnomg Map: http://t.co/eC1ZlDSMHN"
"A 5.1 magnitude earthquake occurred 56.54mi WNW of Lata, Solomon Islands. Details: http://t.co/BtqZi0FLej Map: http://t.co/0zg7pNtvxv"
"A 7.5 magnitude earthquake occurred 50.33mi WNW of Lata, Solomon Islands. Details: http://t.co/VUXRuqk5rV Map: http://t.co/6U7tc3KUKP"
"A 5.1 magnitude earthquake occurred 53.44mi WNW of Sola, Vanuatu. Details: http://t.co/iUFKl3SfTw Map: http://t.co/uAtx4e0b9v"
"A 5.1 magnitude earthquake occurred 80.16mi S of Kokopo, Papua New Guinea. Details: http://t.co/8vncN3jVnz Map: http://t.co/Wk67ISIoMe"
"A 5.7 magnitude earthquake occurred 180.82mi N of Ndoi Island, Fiji. Details: http://t.co/2kyNN8F0xq Map: http://t.co/SSYE2xecqb"
"A 5.4 magnitude earthquake occurred 44.74mi WSW of Constitucion, Chile. Details: http://t.co/EVag5Hhn1j Map: http://t.co/VwGtd0noMg"
"A 5.1 magnitude earthquake occurred 91.34mi SE of L'Esperance Rock, New Zealand. Details: http://t.co/8cllyKQNat Map: http://t.co/gZ88U2ZGNx"
"A 5.1 magnitude earthquake occurred 179.58mi SW of Merizo Village, Guam. Details: http://t.co/TUMwtecbvR Map: http://t.co/LkNjpWuTqB"
"A 5.2 magnitude earthquake occurred 36.66mi ENE of Cagwait, Philippines. Details: http://t.co/Ts9H2syYCI Map: http://t.co/2mFLIjvmym"
"5.0 magnitude earthquake occurred 172.74mi ESE of L'Esperance Rock, New Zealand. Details: http://t.co/jg2A1qRwfA Map: http://t.co/JwxXTUTx8j"
"A 5.2 magnitude earthquake occurred 87.61mi NE of Bathsheba, Barbados. Details: http://t.co/eUNR0HqImX Map: http://t.co/2utd2j0hEl"
"A 6.5 magnitude earthquake occurred 84.51mi NE of Bathsheba, Barbados. Details: http://t.co/7dy9CTXu8O Map: http://t.co/sU8TxhIfE5"
"5.2 mag earthquake occurred 93.83mi ESE of Saipan, Northern Mariana Islands. Details: http://t.co/fvRc98tzGf Map: http://t.co/5iR0waMFFC"
"A 5.3 magnitude earthquake occurred 84.51mi NE of Bathsheba, Barbados. Details: http://t.co/KKOr5ZAiaT Map: http://t.co/acwhJcYDga"
"A 5.3 magnitude earthquake occurred 45.98mi NW of Coquimbo, Chile. Details: http://t.co/bKm8bEdwzF Map: http://t.co/xtIzdaB7fO"
A 5.2 magnitude earthquake occurred in South of the Fiji Islands. Details: http://t.co/ij13mxwWtE Map: http://t.co/hvMdWlFhq5
"5.0 magnitude earthquake occurred 34.8mi W of Agrihan, Northern Mariana Islands. Details: http://t.co/wzMIWMqPib Map: http://t.co/qCJFpw6sKA"
"5.2 magnitude earthquake occurred 47.22mi SSE of Ilha de Mocambique, Mozambique. Details: http://t.co/5e43EyrAZd Map: http://t.co/RrrqjbaLTm"
"A 5.5 magnitude earthquake occurred 49.09mi WSW of Khuzdar, Pakistan. Details: http://t.co/GEwR6Fyg8F Map: http://t.co/4oapE3qN8y"
"A 5.1 magnitude earthquake occurred in Izu Islands, Japan region. Details: http://t.co/LNRApRHMeC Map: http://t.co/7ngAtcjS9k"
"5.3 mag earthquake 65.87mi NW of Visokoi Island, South Georgia and the South Sandwich Islands. Details: http://t.co/sSaLQxr88F"
"A 5.0 magnitude earthquake occurred 106.25mi SE of Zinjibar, Yemen. Details: http://t.co/aq60WGlbA4 Map: http://t.co/tcId7o4e09"
A 5.0 magnitude earthquake occurred in Scotia Sea. Details: http://t.co/PxD03QksKH Map: http://t.co/41vLns90XF
"A 5.4 magnitude earthquake occurred 4.35mi WNW of Saiki, Japan. Details: http://t.co/3mBPz5jA7p Map: http://t.co/R07rPHCvYY"
"5.1 mag earthquake 104.39mi NW of Visokoi Island, South Georgia and the South Sandwich Islands. Details: http://t.co/sbVzuteqne"
"A 5.2 magnitude earthquake occurred 88.86mi N of Tobelo, Indonesia. Details: http://t.co/NssJ7TEXtV Map: http://t.co/0QmYsRC0zX"
"A 5.0 magnitude earthquake occurred 121.79mi NNW of Saumlaki, Indonesia. Details: http://t.co/JLAL63vIea Map: http://t.co/6XAz0R67Um"
"A 5.0 magnitude earthquake occurred 37.9mi SE of Haebaru, Japan. Details: http://t.co/IhdQEclVBR Map: http://t.co/JYj0fU6KqS"
"A 5.4 magnitude earthquake occurred 64.62mi E of Shikotan, Russia. Details: http://t.co/PELvbCUS4n Map: http://t.co/RH4O9r7sDb"
A 5.0 magnitude earthquake occurred in Northern Mid-Atlantic Ridge. Details: http://t.co/JyF1X5WLEw Map: http://t.co/ww6iunl9Zr
"A 5.2 magnitude earthquake occurred 45.98mi SE of Taron, Papua New Guinea. Details: http://t.co/NhLIVqZtAB Map: http://t.co/aJxnHoyN18"
"5.0 mag earthquake 91.96mi N of Visokoi Island, South Georgia and the South Sandwich Islands. Details: http://t.co/NcNWwKJG1Y"
"A 5.3 magnitude earthquake occurred 101.28mi SW of Dadali, Solomon Islands. Details: http://t.co/CGTBoeuUpI Map: http://t.co/VxfwpWQYXB"
"A 7.0 magnitude earthquake occurred 96.93mi SSW of Dadali, Solomon Islands. Details: http://t.co/XFIubjaYus Map: http://t.co/rts6B6qEx1"
"A 5.6 magnitude earthquake occurred 9.94mi SSE of Hachinohe, Japan. Details: http://t.co/GS6BIzX85W Map: http://t.co/9KhhN4MxJn"
A 5.0 magnitude earthquake occurred in central Peru. Details: http://t.co/ripkhn0KHh Map: http://t.co/Gbt688k4lE
"A 5.1 magnitude earthquake occurred 36.66mi SW of Acajutla, El Salvador. Details: http://t.co/ie1f7SsFSZ Map: http://t.co/nNycP2BQnN"
"A 5.4 magnitude earthquake occurred 27.96mi ENE of Taron, Papua New Guinea. Details: http://t.co/bZPmSJN0Cl Map: http://t.co/a8mElJu5s9"
"A 5.1 magnitude earthquake occurred 45.36mi NE of Miyako, Japan. Details: http://t.co/P8CoppXoa7 Map: http://t.co/YxwXH6IoZp"
"A 5.4 magnitude earthquake occurred 172.12mi NE of Ndoi Island, Fiji. Details: http://t.co/g8BBheIrtE Map: http://t.co/zmAZK6jjk3"
"5.1 mag earthquake 100.66mi WSW of Bristol Island, South Sandwich Islands. Details: http://t.co/g4DbgK4Obx Map: http://t.co/e4GlP6Fctn"
"A 5.3 magnitude earthquake occurred 59.03mi SW of Banda Aceh, Indonesia. Details: http://t.co/60wDmF9PiV Map: http://t.co/ETmK2rLq2P"
"A 5.8 magnitude earthquake occurred 174.61mi SW of Vaini, Tonga. Details: http://t.co/cs2ArlnoTB Map: http://t.co/CkYqfZquaS"
A 5.0 magnitude earthquake occurred in central East Pacific Rise. Details: http://t.co/C7DYa1i7Xc Map: http://t.co/Hy3utxnbkC
"A 5.2 magnitude earthquake occurred 77.67mi S of Kokopo, Papua New Guinea. Details: http://t.co/cZo0Cq4BiK Map: http://t.co/QTYWGo1fG5"
A 5.2 magnitude earthquake occurred in central East Pacific Rise. Details: http://t.co/QrFk1sf2s3 Map: http://t.co/Oeh1GfPqXR
A 5.6 magnitude earthquake occurred in East of the North Island of New Zealand. Details: http://t.co/9rQdNiirQ3 Map: http://t.co/CMn96XCDyB
"A 6.3 magnitude earthquake occurred 61.52mi ENE of Shikotan, Russia. Details: http://t.co/luZoCGzshH Map: http://t.co/ijdGOXLmK8"
"A 5.1 magnitude earthquake occurred 22.99mi WSW of Talkeetna, Alaska. Details: http://t.co/sCMYkkW2f6 Map: http://t.co/mPqhfX0FpU"
"A 5.4 magnitude earthquake occurred 3.11mi SSW of Barong, Philippines. Details: http://t.co/MvZvJyd0iR Map: http://t.co/lPjTKpXxHG"
"A 5.3 magnitude earthquake occurred 22.99mi W of Ile Hunter, New Caledonia. Details: http://t.co/debpY4G8V7 Map: http://t.co/DYJSyv3z68"
"A 5.2 magnitude earthquake occurred 50.95mi SSE of Atka, Alaska. Details: http://t.co/ILgCJCBpk3 Map: http://t.co/1FNLLp2QLl"
"A 5.2 magnitude earthquake occurred 73.32mi SE of L'Esperance Rock, New Zealand. Details: http://t.co/5qP9TOjoxY Map: http://t.co/qkTqoOjCIZ"
"A 5.7 magnitude earthquake occurred 28.58mi WSW of Attu Station, Alaska. Details: http://t.co/PV2xKZkgRm Map: http://t.co/aB7WQF2PVS"
"A 6.0 magnitude earthquake occurred 11.18mi NW of Santa Monica, Philippines. Details: http://t.co/QVQsMtCElk Map: http://t.co/e7qLDtmu8i"
"A 5.8 magnitude earthquake occurred 152.86mi E of Port Blair, India. Details: http://t.co/Cy8zUMNEwE Map: http://t.co/0mBAzk0pdS"
"A 6.1 magnitude earthquake occurred 59.03mi SE of Yilkiqi, China. Details: http://t.co/l0k95vC8YV Map: http://t.co/R5gG8yHPuv"
"A 5.0 magnitude earthquake occurred 75.81mi SE of L'Esperance Rock, New Zealand. Details: http://t.co/gSewRCV1dH Map: http://t.co/dGop9tmw2I"
"A 5.3 magnitude earthquake occurred 55.92mi NNE of Lae, Papua New Guinea. Details: http://t.co/OsKMAMUaJm Map: http://t.co/ASynNFxJ5e"
A 5.7 magnitude earthquake occurred in Southern Mid-Atlantic Ridge. Details: http://t.co/i0JXtyyxZ4 Map: http://t.co/oVsjGlnHiE
"A 5.4 magnitude earthquake occurred 13.67mi ENE of Muzaffarabad, Pakistan. Details: http://t.co/mWzWNi0WH4 Map: http://t.co/3kjrCCkyvm"
"A 5.7 magnitude earthquake occurred 159.07mi N of Macquarie Island, Australia. Details: http://t.co/0oku7RDtxs Map: http://t.co/mkBxmwKGnJ"
"A 5.8 magnitude earthquake occurred 57.17mi SE of Kirakira, Solomon Islands. Details: http://t.co/PzBUT5m98I Map: http://t.co/ECwvDQPnbX"
A 5.3 magnitude earthquake occurred in Scotia Sea. Details: http://t.co/8BlLva88Io Map: http://t.co/YTp8VlssZG
"A 5.2 magnitude earthquake occurred 89.48mi SE of L'Esperance Rock, New Zealand. Details: http://t.co/qi55sXIeB7 Map: http://t.co/HllR1rQeTx"
